requested_name,designation,window,state_jd_tdb,calendar,x_sigma_au_1s,y_sigma_au_1s,z_sigma_au_1s,vx_sigma_au_per_day_1s,vy_sigma_au_per_day_1s,vz_sigma_au_per_day_1s,position_component_sigma_rss_au,velocity_component_sigma_rss_au_per_day,nominal_position_delta_rss_au,nominal_velocity_delta_rss_au_per_day,nominal_payload_sha256,uncertainty_payload_sha256,source_vector_table,uncertainty_definition,claim_boundary
Apophis,99942,June 2027,2461557.5,A.D. 2027-Jun-01 00:00:00.0000,1.87776441e-09,7.30144528e-09,2.38931602e-09,1.06667741e-10,2.55018433e-11,3.89213813e-11,7.908598700131748e-09,1.1637536210057877e-10,7.52663916375166e-12,1.1418400366202612e-13,4a9ae5a06f51b817b0d869f3dcce9838b2c89578f0802c3aa2db0e1f45f519da,4f0b7cfb4a15f56e54ae05453e7810db5d67533e30f348657d0475b24f47ac23,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Apophis,99942,January 2028,2461771.5,A.D. 2028-Jan-01 00:00:00.0000,9.0134217e-09,2.06341428e-09,2.64271576e-09,4.74820487e-11,1.43879334e-10,3.03576319e-11,9.616828781936964e-09,1.5452311644413797e-10,8.858652296613503e-12,1.7301522227247295e-13,4a9ae5a06f51b817b0d869f3dcce9838b2c89578f0802c3aa2db0e1f45f519da,4f0b7cfb4a15f56e54ae05453e7810db5d67533e30f348657d0475b24f47ac23,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Apophis,99942,August 2028,2462014.5,A.D. 2028-Aug-31 00:00:00.0000,3.45216731e-09,7.16586452e-09,1.0869726e-09,1.75265703e-10,1.12296598e-10,6.92227124e-11,8.027987474353596e-09,2.1936357145722923e-10,1.297244353032668e-11,3.305692664341942e-13,4a9ae5a06f51b817b0d869f3dcce9838b2c89578f0802c3aa2db0e1f45f519da,4f0b7cfb4a15f56e54ae05453e7810db5d67533e30f348657d0475b24f47ac23,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Castalia,4769,June 2027,2461557.5,A.D. 2027-Jun-01 00:00:00.0000,7.88777082e-08,1.12319042e-07,1.04847839e-07,6.35653163e-10,9.94731317e-10,5.56318759e-10,1.7271458939433006e-07,1.3050041755748366e-09,8.087124284606106e-11,1.106934614167185e-12,893157911390f99212d443b40b8fa2ad7b923fb889d3274f4fb8c1a3ed6b2b8d,957182e103675f683e7fadfeb6d3cec04666c64091484339968e6dbb3ed7b893,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Castalia,4769,January 2028,2461801.5,A.D. 2028-Jan-31 00:00:00.0000,5.51687891e-08,1.27904881e-07,3.83783198e-08,2.8252932e-09,2.19345883e-10,1.04838045e-09,1.4448581004740747e-07,3.0215055601963556e-09,1.7216012426788e-10,3.5721945735909004e-12,893157911390f99212d443b40b8fa2ad7b923fb889d3274f4fb8c1a3ed6b2b8d,957182e103675f683e7fadfeb6d3cec04666c64091484339968e6dbb3ed7b893,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Castalia,4769,August 2028,2461984.5,A.D. 2028-Aug-01 00:00:00.0000,8.94225479e-08,8.85712086e-08,1.12679092e-07,3.58165087e-10,1.01229843e-09,3.43343508e-10,1.689314323615856e-07,1.127348706218235e-09,8.226290035427745e-11,1.033098799576833e-12,893157911390f99212d443b40b8fa2ad7b923fb889d3274f4fb8c1a3ed6b2b8d,957182e103675f683e7fadfeb6d3cec04666c64091484339968e6dbb3ed7b893,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Toutatis,4179,June 2027,2461557.5,A.D. 2027-Jun-01 00:00:00.0000,3.66619275e-08,2.80655458e-08,1.53104956e-08,1.7772953e-11,4.01083491e-11,5.30647469e-12,4.864342776351984e-08,4.418954853246738e-11,1.8561093440766562e-11,5.3230312292180244e-14,e11f3f2f617d3a9af2b133c1cfeaedf0a9d084fd2e5f9b4c945d216b514271ff,70662d8c95a7029b1beda7789fcde373779899dc3af576f42d6047a577d00cd2,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Toutatis,4179,January 2028,2461801.5,A.D. 2028-Jan-31 00:00:00.0000,3.47084004e-08,1.5675511e-08,1.40350556e-08,3.99998585e-11,5.82294838e-11,1.6845376e-11,4.058789830889169e-08,7.262525839001098e-11,3.164854289245284e-11,9.990077964554105e-14,e11f3f2f617d3a9af2b133c1cfeaedf0a9d084fd2e5f9b4c945d216b514271ff,70662d8c95a7029b1beda7789fcde373779899dc3af576f42d6047a577d00cd2,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Toutatis,4179,August 2028,2461984.5,A.D. 2028-Aug-01 00:00:00.0000,2.14617427e-08,8.61420399e-09,8.69057361e-09,1.0884871e-10,2.67148262e-11,4.54538544e-11,2.4704999084662268e-08,1.2094534504219955e-10,5.2498173623458485e-11,2.5258791247158495e-13,e11f3f2f617d3a9af2b133c1cfeaedf0a9d084fd2e5f9b4c945d216b514271ff,70662d8c95a7029b1beda7789fcde373779899dc3af576f42d6047a577d00cd2,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
Anteros,1943,June 2027,2461586.5,A.D. 2027-Jun-30 00:00:00.0000,1.25736318e-08,1.32297076e-09,2.11558319e-09,1.73984815e-11,1.15508322e-10,1.23826722e-11,1.2818820558366391e-08,1.174657830203084e-10,2.0076831234989468e-11,1.7663680342650558e-13,2b98a726c46953962073be8c73fcd9242319fd0568eca96b284d5b47d50826cc,05ca69d2fdb1ccc0e232353e9a2c9b67b24083052a740a3bae024a8100dc4112,2x,formal 1-sigma XYZ/VXYZ component uncertainty,"Component formal uncertainty cross-check only; not a covariance matrix, confidence ellipsoid, impact probability or safety claim."
