requested_name,fullname,shortname,designation,spkid,kind,neo,pha,orbit_class_code,orbit_class_name,orbit_id,condition_code,epoch_jd,solution_date,first_observation,last_observation,observations_used,data_arc_days,eccentricity,semimajor_axis_au,perihelion_au,inclination_deg,aphelion_au,moid_au,absolute_magnitude_h,diameter_km,albedo,density_g_cm3,rotation_period_h,spectral_type_b,spectral_type_t,close_approach_records,covariance_available,covariance_form,covariance_epoch_jd,covariance_dimension,covariance_labels,covariance_raw_owner,orbit_invariant_status,orbit_invariant_notes,refresh_status,last_refresh_error,signature_source,signature_version,source_url,sha256,captured_at,current_hardware_canon,mark_iv_state
Likho,785648 Likho (2015 RG36),785648 Likho,785648,20785648,an,True,False,AMO,Amor,129,0,2461200.5,2025-04-09 19:19:01,2015-09-11,2025-03-24,803,3482,.2669717021139987,1.47545995895173,1.081553902309336,9.157581075739367,1.869366015594124,.0994382,20.27,,,,,,,10,True,mat,2459820.5,6,e|q|tp|node|peri|i,data/jpl/sbdb/latest/likho.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.02213 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Likho&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,4008d7b09980c0e83bf1aa3c8a0073d5ac9ee2422e2fc7d9eba79e2236c19eec,2026-09-24T20:35:57+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Ninkasi,4947 Ninkasi (1988 TJ1),4947 Ninkasi,4947,20004947,an,True,False,AMO,Amor,240,0,2461200.5,2026-05-15 07:21:34,1978-02-17,2026-05-15,994,17619,.168426221270548,1.370024661483262,1.139276584702175,15.6521252015807,1.60077273826435,.149136,18.07,,,,21.1,Sq,,14,True,mat,2458379.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/ninkasi.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.02055 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Ninkasi&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,32b19d95e82a9e92667c4f3a693f0ba405c2ba844b50220862496e09785e4b5f,2026-09-24T20:35:59+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Pocahontas,4487 Pocahontas (1987 UA),4487 Pocahontas,4487,20004487,an,True,False,AMO,Amor,196,0,2461200.5,2025-11-24 06:00:38,1987-09-24,2025-05-19,814,13752,.2964137571780194,1.730411750823765,1.217493902297098,16.40530542387503,2.243329599350432,.21877,17.48,,,,,,,0,True,mat,2458075.5,6,e|q|tp|node|peri|i,data/jpl/sbdb/latest/pocahontas.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.02596 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Pocahontas&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,b939e68e9857057bde3b7ecf76994914f86f0ba4addd956dc6538b324db7c527,2026-09-24T20:36:01+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Duende,367943 Duende (2012 DA14),367943 Duende,367943,20367943,an,True,False,ATE,Aten,83,0,2461200.5,2026-07-27 16:25:51,2012-02-23,2013-02-21,1017,364,.08926741572682338,.9105740249105246,.82928943487879,11.60978865916359,.9918586149422592,.000476097,24.19,,,,8.724,,,44,True,mat,2456157.5,6,e|q|tp|node|peri|i,data/jpl/sbdb/latest/duende.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.01366 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Duende&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,ed007a60dd2eb5605f5dce73d6d0ed4f807b31c1a2cd74582077307c2ff60264,2026-09-24T20:36:02+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Agni,398188 Agni (2010 LE15),398188 Agni,398188,20398188,an,True,True,ATE,Aten,196,0,2461200.5,2026-09-03 06:19:11,2001-07-02,2026-09-02,1214,9193,.2733618518090965,.8645753616377805,.6282334397519574,13.25234675857377,1.100917283523603,.0224329,19.33,0.462,0.137,,21.99,,,75,True,mat,2459702.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/agni.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.01297 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Agni&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,a46d743f89a3c25a8d9b3d43b6a3cdb2e345e9976c0b2478e261900e5c9ec51e,2026-09-24T20:36:04+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Kamo`oalewa,469219 Kamo`oalewa (2016 HO3),469219 Kamo`oalewa,469219,20469219,an,True,False,APO,Apollo,37,0,2461200.5,2026-09-03 06:19:15,2004-03-17,2025-03-07,335,7660,.1022388434937281,1.000810461656002,.8984887574998687,7.802614368816799,1.103132165812136,.0301328,24.31,,,,0.467,,,473,True,mat,2457840.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/kamo-oalewa.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.01501 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Kamo%60oalewa&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,60de5986244ab8e82ba891b129e6eae318c7ab749227c781c51c47efe09b310e,2026-09-24T20:36:06+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Vishnu,4034 Vishnu (1986 PA),4034 Vishnu,4034,20004034,an,True,True,APO,Apollo,199,0,2461200.5,2026-07-28 06:17:56,1986-08-02,2026-06-27,1333,14574,.4440100931741494,1.059369528428575,.5889987654051491,11.16925767742132,1.529740291452002,.0191649,18.50,0.42,0.52,,44.4,O,,58,True,mat,2459827.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/vishnu.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.01589 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Vishnu&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,55f6d6dc84592d9a4562c6297f947f2f0b0471225f914016c7f5476e439f65f6,2026-09-24T20:36:08+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Cerberus,1865 Cerberus (1971 UA),1865 Cerberus,1865,20001865,an,True,False,APO,Apollo,404,0,2461200.5,2026-09-24 06:17:41,1971-11-10,2026-09-23,2550,20041,.4668681387085005,1.079953205250933,.5757574624231505,16.1012666399542,1.584148948078715,.156476,16.77,1.2,0.22,,6.8039,S,S,33,True,mat,2458299.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/cerberus.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.0162 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Cerberus&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,ab8276975c25c3c281af33a8d7d79b67e083f2edde0764fe0db6c5be91d08008,2026-09-24T20:36:10+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Minos,6239 Minos (1989 QF),6239 Minos,6239,20006239,an,True,True,APO,Apollo,333,0,2461200.5,2026-09-03 06:18:31,1983-01-09,2026-08-30,2120,15939,.4123646091939666,1.150937466175489,.6763315877293392,3.941399682182683,1.625543344621638,.0261237,18.59,,,,3.5558,,,59,True,mat,2458693.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/minos.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.01726 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Minos&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,4af1e6cb074eff0a53a617c3d59067c5efdbac05200f787dc79649af7ae45965,2026-09-24T20:36:11+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Golevka,6489 Golevka (1991 JX),6489 Golevka,6489,20006489,an,True,True,APO,Apollo,107,0,2461200.5,2022-12-20 14:07:28,1991-04-15,2015-11-03,1017,8968,.6190939112625774,2.474378474226095,.9425058266735333,2.260612192245343,4.006251121778656,.0225458,19.22,0.53,0.151,2.7,6.026,Q,,40,True,mat,2452413.5,7,e|q|tp|node|peri|i|A2,data/jpl/sbdb/latest/golevka.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.03712 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Golevka&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,924b96c853c2b7312af9cd258606cee8c00612fd67743dceb03dc049020fb50b,2026-09-24T20:36:13+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Lugh,217628 Lugh (1990 HA),217628 Lugh,217628,20217628,an,True,True,APO,Apollo,90,0,2461200.5,2026-09-24 06:17:40,1960-09-24,2026-09-23,569,24105,.7117856249311334,2.526280535353592,.7281103657455772,4.441042174732856,4.324450704961606,.0338864,16.68,1.4,,,8.55,,,33,True,mat,2460117.5,6,e|q|tp|node|peri|i,data/jpl/sbdb/latest/lugh.json,PASS,q/a/Q ordering and a(1±e) checks passed within 0.03789 au tolerance.,CAPTURED_CURRENT,,NASA/JPL Small-Body Database (SBDB) API,1.3,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=Lugh&phys-par=1&ca-data=1&ca-time=both&ca-tunc=both&ca-unc=1&cov=mat&full-prec=1,a7806d9b9f15928dc4d235cd8e8d88253e5e16765e7f90acb807f0c04eded656,2026-09-24T20:36:15+00:00,Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
